EVI,NDVI,date,gid,name
752.6758657263931,1633.0262161742248,2000-02-18T00:00:00,1,A
655.6567522274858,1349.6104430088076,2000-02-18T00:00:00,2,B
640.6926573286439,1277.9043150521575,2000-02-18T00:00:00,3,C
1099.814741677738,2242.7918109283087,2000-02-18T00:00:00,4,D
865.7891630306169,1970.1929338926186,2000-02-18T00:00:00,5,E
878.7704711048492,1988.2503480982316,2000-02-18T00:00:00,6,F/S
1159.8979331658404,2433.525707005265,2000-02-18T00:00:00,7,G/S
1016.3989578517122,2123.9759139813696,2000-02-18T00:00:00,8,F/N
899.1503431877109,1962.4536550487326,2000-02-18T00:00:00,9,G/N
1307.0333659102955,2929.552528136197,2000-02-18T00:00:00,10,N
1622.0368616530002,3482.94767905091,2000-02-18T00:00:00,11,R/C
1338.9950106952028,2790.327339095238,2000-02-18T00:00:00,22,R/S
1059.533133427956,2199.784959219941,2000-02-18T00:00:00,23,H/W
1047.1676844950382,2178.519585815129,2000-02-18T00:00:00,24,L
1527.0059561537976,3229.932606480758,2000-02-18T00:00:00,12,S
1586.2795432349124,3469.5190254555664,2000-02-18T00:00:00,13,T
1287.083347378718,2641.440426086892,2000-02-18T00:00:00,14,K/W
1736.365949214879,3694.1329101607566,2000-02-18T00:00:00,15,R/N
1410.119783785397,2935.974708705489,2000-02-18T00:00:00,16,M/E
1341.8869728078275,2573.198861707959,2000-02-18T00:00:00,17,M/W
1127.2652650112452,2261.375932736507,2000-02-18T00:00:00,18,H/E
1223.188062307765,2475.8279226358445,2000-02-18T00:00:00,19,K/E
1669.8885667480274,3381.342645297796,2000-02-18T00:00:00,20,P/S
1455.5761518914962,3060.2048889875464,2000-02-18T00:00:00,21,P/N
842.5705703360629,1900.8338053290865,2000-03-05T00:00:00,1,A
494.0676566794732,1104.3945583827028,2000-03-05T00:00:00,2,B
648.0455302745908,1340.6850609979883,2000-03-05T00:00:00,3,C
967.1783413955652,2008.9033206796807,2000-03-05T00:00:00,4,D
863.2959643358415,1936.7568488951767,2000-03-05T00:00:00,5,E
874.6086762255502,2087.783063841728,2000-03-05T00:00:00,6,F/S
1209.706140697316,2508.69155849934,2000-03-05T00:00:00,7,G/S
939.869322157816,1860.2187786664015,2000-03-05T00:00:00,8,F/N
907.070144304054,1843.1224003836571,2000-03-05T00:00:00,9,G/N
1342.0004008194435,2764.7668553427484,2000-03-05T00:00:00,10,N
1706.4149719897534,3461.9239159207746,2000-03-05T00:00:00,11,R/C
1381.4329158259784,2700.0632561791713,2000-03-05T00:00:00,22,R/S
1038.58589709396,2009.286093025788,2000-03-05T00:00:00,23,H/W
1035.3616861710998,2062.0829365208583,2000-03-05T00:00:00,24,L
1596.555007147639,3064.567956790687,2000-03-05T00:00:00,12,S
1608.3434469906354,3260.134169885077,2000-03-05T00:00:00,13,T
1436.2350974196854,2830.461235117151,2000-03-05T00:00:00,14,K/W
1730.0364060174734,3440.990845183181,2000-03-05T00:00:00,15,R/N
1432.2010537470755,2746.8038138237407,2000-03-05T00:00:00,16,M/E
1336.9267731848179,2517.3471796249464,2000-03-05T00:00:00,17,M/W
1267.56001935614,2291.977230010184,2000-03-05T00:00:00,18,H/E
1236.320251684457,2356.263395886929,2000-03-05T00:00:00,19,K/E
1644.845820662926,3192.7757547777287,2000-03-05T00:00:00,20,P/S
1467.7228697419296,3026.8588523962017,2000-03-05T00:00:00,21,P/N
989.5125058835052,1959.9391736872208,2000-03-21T00:00:00,1,A
659.9662869531289,1642.406859771057,2000-03-21T00:00:00,2,B
688.3961568226097,1274.4721189801585,2000-03-21T00:00:00,3,C
917.2454470106627,1803.128939000889,2000-03-21T00:00:00,4,D
968.2021138302417,2075.654290033022,2000-03-21T00:00:00,5,E
948.207671428748,1801.6110179404316,2000-03-21T00:00:00,6,F/S
1012.5260281998674,1914.1042927357944,2000-03-21T00:00:00,7,G/S
1083.6673951642376,1998.7342322531008,2000-03-21T00:00:00,8,F/N
968.3971841280515,1748.029928793111,2000-03-21T00:00:00,9,G/N
1247.928325941917,2631.371002991919,2000-03-21T00:00:00,10,N
1507.9419537842334,3013.5461998603096,2000-03-21T00:00:00,11,R/C
1321.1407075071395,2595.1165893514585,2000-03-21T00:00:00,22,R/S
1140.3330639437825,1886.7661152812768,2000-03-21T00:00:00,23,H/W
1059.7856359863797,2090.7097312187802,2000-03-21T00:00:00,24,L
1457.0256526050714,2943.388176539639,2000-03-21T00:00:00,12,S
1474.2666917467398,3092.7874100536037,2000-03-21T00:00:00,13,T
1342.965642435665,2415.5438133876164,2000-03-21T00:00:00,14,K/W
1660.4064310623255,3254.935056717278,2000-03-21T00:00:00,15,R/N
1349.3663595345606,2653.087942688363,2000-03-21T00:00:00,16,M/E
1286.7279413841704,2319.1792983556875,2000-03-21T00:00:00,17,M/W
1086.1112469985926,1998.090834889332,2000-03-21T00:00:00,18,H/E
1223.6888752940524,2401.6791320266,2000-03-21T00:00:00,19,K/E
1504.0813569381187,2898.4935062795553,2000-03-21T00:00:00,20,P/S
1284.7663616009625,2527.7646788581897,2000-03-21T00:00:00,21,P/N
1051.079979841476,1943.1311646229224,2000-04-06T00:00:00,1,A
599.2951095664816,1206.7086801622816,2000-04-06T00:00:00,2,B
787.1275609822596,1375.5755120915908,2000-04-06T00:00:00,3,C
1136.002752472428,1939.3660827715573,2000-04-06T00:00:00,4,D
1006.2221793748018,1869.933959409972,2000-04-06T00:00:00,5,E
1008.4204975988443,2061.3978200777938,2000-04-06T00:00:00,6,F/S
1101.5921974715914,1979.673917629719,2000-04-06T00:00:00,7,G/S
1186.5821793534406,2097.875292379782,2000-04-06T00:00:00,8,F/N
1044.8317112100563,1924.7548918731732,2000-04-06T00:00:00,9,G/N
